parameter_name,sub_parameter_name,param_unit,ts,value,Current_Mean_Value,Current_Sigma_Value,Design_Value
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:26,892.0277616,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:25,891.8498277,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:24,886.7752213,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:23,896.8466099,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:22,909.6159258,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:21,920.3879842,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:20,919.9047726,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:19,924.1362581,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:18,911.1928053,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:17,905.3427126,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:16,900.9738443,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:15,909.124991,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:14,919.9356395,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:13,911.0470909,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:12,906.1396657,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:11,896.6900254,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:10,887.0331487,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:09,873.551879,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:08,876.4975011,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:07,885.8342204,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:06,891.2592258,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:05,881.9429493,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:04,888.5970794,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:03,891.6170154,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:02,889.4084789,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:01,880.6822879,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 12:00,886.3804651,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:59,881.5205457,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:58,873.6361323,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:57,865.0643515,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:56,874.0332036,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:55,887.070731,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:54,894.2182538,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:53,898.7642757,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:52,898.6472298,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:51,904.4460838,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:50,909.2259928,892.9733333,12.72796353,920
